observation_count,country,country_code,state,state_code,latitude,longitude,observation_date,year
5,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-10-08,2017
2,Argentina,AR,Buenos Aires,AR-B,-37.6155912,-57.4231768,2017-10-13,2017
2,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2017-11-22,2017
1,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-11-23,2017
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2017-12-30,2017
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-01-31,2018
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-01-28,2018
2,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-01-17,2018
8,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-01-21,2018
18,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-02-13,2018
12,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-02-07,2018
1,Argentina,AR,Buenos Aires,AR-B,-37.7222721,-57.6507998,2018-02-15,2018
6,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-03-08,2018
15,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-03-30,2018
2,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-03-11,2018
32,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-04-13,2018
4,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-04-27,2018
4,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-04-08,2018
6,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-04-22,2018
7,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-04-13,2018
15,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-05-01,2018
12,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-05-05,2018
6,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-05-16,2018
5,Argentina,AR,Buenos Aires,AR-B,-37.7714548,-57.4549448,2018-05-01,2018
6,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-05-27,2018
5,Argentina,AR,Buenos Aires,AR-B,-37.7443856,-57.4269962,2018-05-05,2018
1,Argentina,AR,Buenos Aires,AR-B,-38.557297,-58.736816,2014-01-05,2014
2,Argentina,AR,Buenos Aires,AR-B,-38.6125259,-58.8101698,2014-11-18,2014
1,Argentina,AR,Buenos Aires,AR-B,-38.613174,-58.811813,2014-11-04,2014
1,Argentina,AR,Buenos Aires,AR-B,-38.5489961,-58.7365741,2014-11-06,2014
1,Argentina,AR,Buenos Aires,AR-B,-38.6108052,-58.8207015,2014-11-12,2014
1,Argentina,AR,Buenos Aires,AR-B,-38.6108052,-58.8207015,2014-11-07,2014
1,Argentina,AR,Buenos Aires,AR-B,-38.6108052,-58.8207015,2014-11-09,2014
5,Argentina,AR,Buenos Aires,AR-B,-38.6086297,-58.8149911,2015-10-12,2015
2,Argentina,AR,Buenos Aires,AR-B,-38.6347069,-58.8814187,2015-11-03,2015
1,Argentina,AR,Buenos Aires,AR-B,-38.6348075,-58.8813972,2015-12-23,2015
1,Argentina,AR,Buenos Aires,AR-B,-38.6348075,-58.8813972,2015-12-14,2015
1,Argentina,AR,Buenos Aires,AR-B,-38.5554249,-58.7256446,2017-01-05,2017
2,Argentina,AR,Buenos Aires,AR-B,-38.5382565,-58.728528,2017-01-11,2017
3,Argentina,AR,Buenos Aires,AR-B,-38.5308748,-58.7363734,2017-12-31,2017
15,Argentina,AR,Buenos Aires,AR-B,-38.56,-58.7436667,2018-02-17,2018
1,Argentina,AR,Buenos Aires,AR-B,-37.6900862,-63.1489635,2017-11-18,2017
0,Argentina,AR,Buenos Aires,AR-B,-34.6857746,-58.268312,2014-02-15,2014
0,Argentina,AR,Buenos Aires,AR-B,-34.6857746,-58.268312,2014-04-19,2014
2,Argentina,AR,Buenos Aires,AR-B,-34.7145952,-58.2448339,2016-11-12,2016
0,Argentina,AR,Buenos Aires,AR-B,-34.6857746,-58.268312,2017-06-24,2017
2,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2008-09-24,2008
0,Argentina,AR,Buenos Aires,AR-B,-34.4815145,-58.5103619,2010-08-16,2010
0,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2011-11-12,2011
0,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2013-08-31,2013
0,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2013-08-19,2013
0,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2013-09-21,2013
0,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2013-10-06,2013
1,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2013-12-22,2013
2,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2014-03-12,2014
0,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2014-04-13,2014
0,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2015-01-11,2015
4,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2016-09-17,2016
3,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2016-09-22,2016
1,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2017-12-17,2017
2,Argentina,AR,Buenos Aires,AR-B,-34.4693445,-58.494966,2018-05-27,2018
1,Argentina,AR,Buenos Aires,AR-B,-34.492,-58.4791667,2008-09-26,2008
1,Argentina,AR,Buenos Aires,AR-B,-34.492,-58.4791667,2015-11-01,2015
0,Argentina,AR,Buenos Aires,AR-B,-34.492,-58.4791667,2016-02-06,2016
1,Argentina,AR,Buenos Aires,AR-B,-34.5165289,-58.5308647,2016-03-28,2016
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.6082039,-58.3539677,2004-01-05,2004
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.6082039,-58.3539677,2005-10-08,2005
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5720266,-58.416431,2010-01-24,2010
2,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5290059,-58.4581178,2011-08-22,2011
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5590002,-58.4332571,2011-09-09,2011
3,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.6175283,-58.3570576,2011-12-03,2011
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5587324,-58.4311187,2013-07-06,2013
6,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5283833,-58.4578657,2013-08-03,2013
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.530408,-58.4562778,2014-05-10,2014
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5568384,-58.4992361,2014-06-21,2014
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5590002,-58.4332571,2014-07-19,2014
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.6082039,-58.3539677,2014-08-21,2014
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.6132194,-58.3909178,2014-11-15,2014
0,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5467214,-58.4314728,2014-11-05,2014
1,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5290059,-58.4581178,2015-03-28,2015
3,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5290059,-58.4581178,2015-04-19,2015
3,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5587324,-58.4311187,2015-05-30,2015
3,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5720266,-58.416431,2015-05-30,2015
3,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5290059,-58.4581178,2015-07-05,2015
2,Argentina,AR,Ciudad Autónoma de Buenos Aires,AR-C,-34.5373325,-58.4446478,2015-08-07,2015
